period,CPIM.SE1041F,CPIM.SE2041F,CPIM.SE3041F,CPIM.SE5041F,CPIM.SE6041F,CPIM.SE9041F,CPIM.SE9041S
2006-11-01,NA,NA,NA,NA,NA,NA,NA
2006-12-01,NA,NA,NA,NA,NA,NA,NA
2007-01-01,NA,NA,NA,NA,NA,NA,NA
2007-02-01,NA,NA,NA,NA,NA,NA,NA
2007-03-01,NA,NA,NA,NA,NA,NA,NA
2007-04-01,NA,NA,NA,NA,NA,NA,NA
2007-05-01,NA,NA,NA,NA,NA,NA,NA
2007-06-01,NA,NA,NA,NA,NA,NA,NA
2007-07-01,NA,NA,NA,NA,NA,NA,NA
2007-08-01,NA,NA,NA,NA,NA,NA,NA
2007-09-01,NA,NA,NA,NA,NA,NA,NA
2007-10-01,NA,NA,NA,NA,NA,NA,NA
2007-11-01,NA,NA,NA,NA,NA,NA,NA
2007-12-01,0.05834927534062236,0.0753387759828615,0.06053953712632598,0.045705565462189034,0.05088552116629189,0.057803435615001376,NA
2008-01-01,0.060405928832058496,0.07119062783471335,0.05867497433868629,0.03657736033398392,0.05799883467801966,0.05594351343601304,0.04847064651447123
2008-02-01,0.05559100453738249,0.06447779613090272,0.05266758313845984,0.05024858313955908,0.03940204409362735,0.05137861854301384,0.04925248264477725
2008-03-01,0.06090764921719464,0.06887780391164149,0.04433188170812922,0.04841273488635426,0.0578305599490152,0.05595051894951789,0.05103276309776842
2008-04-01,0.05061016637966601,0.07681943382810201,0.045421582169886156,0.059118303442756925,0.055870685590726575,0.054551898252942044,0.051818633001285384
2008-05-01,0.04424884805433652,0.07975772961654466,0.04812953110178886,0.05770179433509356,0.054274261580509485,0.05315208455634246,0.05228940103764601
2008-06-01,0.03562746767198314,0.06522072523016242,0.047796900334375524,0.04151544822407005,0.044657367018397766,0.04484958014504955,0.051093759676489624
2008-07-01,0.022238177295328326,0.05812166101589974,0.04578904183498422,0.0237414053578137,0.04361308965833096,0.03413361696580175,0.049569758715692615
2008-08-01,0.016007690741395592,0.046492908836817705,0.032794026198689874,0.007966888746803106,0.05230753133707452,0.025547216972725773,0.04774627701768552
2008-09-01,0.00920178639840715,0.0479496023839067,0.02852118192584559,0.009875285693368005,0.04883686714331059,0.02063758670787334,0.04595480977894432
2008-10-01,0.00857759442469789,0.04013658308204179,0.022301358221857564,0.004777552074301861,0.03563264831571774,0.01739803124353904,0.04419363702113103
2008-11-01,6.757632530485225e-4,0.04559169269740345,0.02256148470492921,0.01303455822604486,0.02023322579406228,0.015127738114727304,0.04212329317842567
2008-12-01,4.476933946658453e-5,0.040090346323669625,0.020916789161928556,0.00546365075501772,0.02377105045257662,0.015655806108644182,0.04006813757465677
2009-01-01,-0.002089705162474864,0.03448935247231747,0.020541850247482046,0.007640343861708976,0.01799507024456874,0.014351758358299938,0.037375204864810385
2009-02-01,-0.0023750374523072715,0.032017336734977864,0.016042854001038147,-0.0021432059218408073,0.025160179278836663,0.01271321283390677,0.03435477210351786
2009-03-01,-0.01325398921768565,0.03576150542916512,0.016939885992636922,-0.010810180100725134,0.001953985849743637,0.004943520291042984,0.030403242307135352
2009-04-01,-0.018160133894863668,0.0360924612674954,0.010007580093098914,-0.024625302836584,-0.001747467614347668,-0.0011878802433880804,0.027138129857484723
2009-05-01,-0.014747239709638574,0.024125785974693725,0.003454704692301358,-0.024034612444193915,-0.001087850514030338,-0.003977708577560524,0.023918323144788367
2009-06-01,-0.011717649911269223,0.014479477511956848,-0.0030873513824650014,-0.018238354112818673,0.013818273164114584,-0.004296664281084032,0.021677063193247987
2009-07-01,-0.0012131230760972223,0.01704561041094584,-0.0027775620392184175,-0.008177597122808411,0.015362680842351262,0.00312260497300935,0.01944797384982107
2009-08-01,-0.004330427803781123,0.019741023017048054,9.360365322352848e-4,-0.0027686942672831374,0.010604498712672475,0.0037482386035690984,0.017859388614906473
2009-09-01,0.0034729859593849812,0.021802748514671677,0.00404897433456286,-0.0021191564372989116,9.342562236241599e-4,0.0074703236872236305,0.016284377541275392
2009-10-01,0.00850292415150448,0.020198407714377975,0.00934492449032609,-0.0011715990429034262,0.005576439437235958,0.00993635174870137,0.01502779255263298
2009-11-01,0.016046734271219536,0.01145428388690454,0.010261848616664127,-6.615628761614442e-4,0.01070145182804468,0.012414082085292932,0.014084994598885014
2009-12-01,0.01919816846462008,0.012944694424802283,0.0099364659383403,-0.00550696397376967,0.027386541116714458,0.01725276659631092,0.013757278769789197
2010-01-01,0.014137283550377392,0.01680624848484069,0.007423447136936989,0.0016096704027394049,0.03649349195471152,0.017144761945289577,0.013431602193489342
2010-02-01,0.015018395972527113,0.024115600251474117,0.01145906142583882,0.0019330772328829775,0.03440135611404357,0.019241205173743763,0.013098472362061372
2010-03-01,0.021955627731069665,0.023613979408761605,0.012355471413157884,0.021043559211645062,0.030521382668739605,0.021172594309722143,0.01307345184523756
2010-04-01,0.033954672255411676,0.01984828709537208,0.014843857888255338,0.026327734576054935,0.01802172468003967,0.02530062540258234,0.013357350730657247
2010-05-01,0.03858541690940309,0.02210545251857421,0.01112033407049795,0.02197545603022803,0.018955943268723335,0.026265373003750463,0.013951809447267335
2010-06-01,0.0367188791255623,0.024446588235016442,0.01711060793615486,0.018144972503589967,0.01105066160299506,0.026048947114487946,0.014242156523695648
2010-07-01,0.0332028347836284,0.020081792807669235,0.016800530416775022,0.013028031375372931,0.005836282901807451,0.022929187582768257,0.014834731746069604
2010-08-01,0.034257074294910574,0.01171109026656314,0.01866791980986478,0.017767068099984778,0.0021450928616925102,0.023258139279501117,0.015123750675161066
2010-09-01,0.03437177657502177,0.0038581967701441697,0.013632798049414715,0.019612104923769264,6.036070836630639e-4,0.02161075964004337,0.01602158552350493
2010-10-01,0.03510877164066158,0.0038397767548502917,0.014497991348659442,0.019583572693762246,0.003349182634241702,0.022134045877615287,0.01661613474012465
2010-11-01,0.036527338204574246,0.011340526829857792,0.014450792797225942,0.01728563337585502,0.006156795031240743,0.022984954422851606,0.01721015434113049
2010-12-01,0.03521882253591587,0.014568441720988737,0.014735803809015069,0.02230240172771869,0.021746090041250943,0.02544587277442482,0.016888292554969597
2011-01-01,0.039899336986696975,0.011333250938890926,0.017495693413430935,0.022365533040849945,0.021487490189282605,0.02621339062827362,0.017168424751206057
2011-02-01,0.04524231449427359,0.006977154951933777,0.018665987290341263,0.030657903856579516,0.015936410419724822,0.027869129638679196,0.018037561438630483
2011-03-01,0.052009263736842705,-0.0019896695590307933,0.020127726701536213,0.02668709843042527,0.011309303268485596,0.027322253106800403,0.01950579714524629
2011-04-01,0.05406247107433967,-0.00141983527122506,0.01703590898230356,0.0280202077117786,0.023314539481981367,0.029165493961271327,0.020969500541686264
2011-05-01,0.04770828228691134,-0.005147749785055537,0.018630592063918556,0.03371613956308739,0.02121810342328116,0.028295667141829073,0.021835985039598382
2011-06-01,0.04692028506066159,0.0029343917071094814,0.015298649459263439,0.036935875319712284,0.018195477998150283,0.029307142265683577,0.02300499146189446
2011-07-01,0.050058049446236895,0.007653172174376592,0.017442396332616166,0.0376418484512732,0.016613612221107726,0.03240067926165957,0.0235673363357319
2011-08-01,0.06287502789498427,0.018865307710874173,0.015578766316493464,0.03241191024112874,0.023225386645020274,0.0372568038309539,0.024433525105146476
2011-09-01,0.06558906120471963,0.026844203920248777,0.020779151872394024,0.03070597888452964,0.02048683820194719,0.03989230587094047,0.024694707682406742
2011-10-01,0.06338357159390084,0.029739982768679656,0.018264467919243483,0.039660553976900825,0.020707577336056254,0.03880943414290742,0.02555653174138321
2011-11-01,0.05941976160502375,0.0305547696297932,0.02002755331869251,0.04759181318168674,0.02253770168423112,0.03984302166823839,0.026416555466175645
2011-12-01,0.06116035099016585,0.026313971216752163,0.015429356045336018,0.05133623865497242,0.018585663114247437,0.03675018687515615,0.027579558040942958
2012-01-01,0.0612697512395457,0.02859906030243331,0.009707880306263647,0.053924832231938113,0.015586722087488347,0.03592362182983674,0.028426611589252637
2012-02-01,0.05748848645984935,0.02112028080015767,0.007816318952818943,0.06002746941398973,0.022693099765614955,0.03324587737102543,0.028941992395204563
2012-03-01,0.05239871579074159,0.014730846172287704,0.0074666217433972575,0.07011739585268995,0.019640701498858177,0.032147372332826496,0.029437036735319316
2012-04-01,0.04612235291069126,0.0022491950955090636,0.015271736274969175,0.0824214947074217,0.01376772997316611,0.030675628882893474,0.029928166817075736
2012-05-01,0.04612235291069126,0.0047114233475429685,0.018005989652350268,0.08424853555548613,0.006335439739885114,0.031045313983321554,0.03044437782825371
2012-06-01,0.05004860195994376,0.011113019652751466,0.024674059384715452,0.08968129022178457,0.011384718939649726,0.03641054708731987,0.03066598720479267
2012-07-01,0.04971876130269881,0.013407913513910389,0.022843196263529746,0.09575136585436599,0.02368648868496955,0.03755174215723437,0.0308942882618725
2012-08-01,0.041047175808458146,-7.445190960908935e-4,0.021352287656417463,0.10778506019852958,0.018845734573457323,0.033913279846685386,0.031122301059090713
2012-09-01,0.03461336951141961,-0.008296098144119765,0.01916289595730965,0.11201295007659666,0.018887063097653273,0.03109582714320484,0.031358948469651184
2012-10-01,0.03416162078994578,-0.006294954633542275,0.02239444738924597,0.11027910428713435,0.010739189486762779,0.03126283337238581,0.031295376544829535
2012-11-01,0.03805302852750736,1.19275385576841e-5,0.022294254611912923,0.10417337776190767,0.01014449363740851,0.03256210111674932,0.031520625550566374
2012-12-01,0.03991941743271362,0.0048489153983609645,0.026553914662517553,0.10552983727812452,0.009170128195939617,0.03139288842579754,0.03203369658635354
2013-01-01,0.039518809565095715,0.0025731974781184608,0.028128708572532208,0.10325452102707366,0.010477317738423272,0.030630976384255455,0.03224909044959564
2013-02-01,0.03819665501713473,0.008749543715561248,0.02513484079270582,0.09009338643388405,0.013884023532317583,0.028501863063329653,0.03186247496864055
2013-03-01,0.030982247130135237,0.011999955412997957,0.022586254023540937,0.08460679192728156,0.005930629771124463,0.028036807564144468,0.03088613129566764
2013-04-01,0.02892460260317879,0.023250844091871503,0.015343011979460272,0.08635249769516018,0.009445128438226388,0.02863991780704726,0.03020064065996375
2013-05-01,0.028373182696920168,0.025371699393612685,0.014453406917490863,0.1048523237091122,0.013409912987294992,0.03151363168004225,0.03011312709536118
2013-06-01,0.026715349378038173,0.020134278371282715,0.009981700905018561,0.10938311512552423,0.01930545595265117,0.029181965817730433,0.03003700869863213
2013-07-01,0.025039896438373566,0.018151291633260753,0.009393811428240214,0.1069355730740218,0.008574949722921277,0.026010562154324512,0.02968774167895109
2013-08-01,0.02005327086929598,0.018302406787541765,0.013248390036589472,0.09923118844536412,0.014461874651652717,0.022881845677530672,0.02905573211837013
